pressure,time
3.4E-05 ,2025-11-25 11:19:24
3.4E-05 ,2025-11-25 11:19:25
3.4E-05 ,2025-11-25 11:19:25
3.4E-05 ,2025-11-25 11:19:26
3.4E-05 ,2025-11-25 11:19:26
3.4E-05 ,2025-11-25 11:19:27
3.4E-05 ,2025-11-25 11:19:27
3.4E-05 ,2025-11-25 11:19:28
3.4E-05 ,2025-11-25 11:19:28
3.4E-05 ,2025-11-25 11:19:29
3.4E-05 ,2025-11-25 11:19:29
3.4E-05 ,2025-11-25 11:19:30
3.4E-05 ,2025-11-25 11:19:31
3.4E-05 ,2025-11-25 11:19:31
3.4E-05 ,2025-11-25 11:19:32
3.4E-05 ,2025-11-25 11:19:32
3.4E-05 ,2025-11-25 11:19:33
3.4E-05 ,2025-11-25 11:19:33
3.4E-05 ,2025-11-25 11:19:34
3.4E-05 ,2025-11-25 11:19:34
3.4E-05 ,2025-11-25 11:19:35
3.4E-05 ,2025-11-25 11:19:35
3.4E-05 ,2025-11-25 11:19:36
3.4E-05 ,2025-11-25 11:19:37
3.4E-05 ,2025-11-25 11:19:37
3.4E-05 ,2025-11-25 11:19:38
3.4E-05 ,2025-11-25 11:19:38
3.4E-05 ,2025-11-25 11:19:39
3.4E-05 ,2025-11-25 11:19:39
3.4E-05 ,2025-11-25 11:19:40
3.4E-05 ,2025-11-25 11:19:40
3.4E-05 ,2025-11-25 11:19:41
3.4E-05 ,2025-11-25 11:19:41
3.4E-05 ,2025-11-25 11:19:42
3.4E-05 ,2025-11-25 11:19:43
3.4E-05 ,2025-11-25 11:19:43
3.4E-05 ,2025-11-25 11:19:44
3.4E-05 ,2025-11-25 11:19:44
3.4E-05 ,2025-11-25 11:19:45
3.4E-05 ,2025-11-25 11:19:45
3.4E-05 ,2025-11-25 11:22:05
3.4E-05 ,2025-11-25 11:22:06
3.4E-05 ,2025-11-25 11:22:06
3.4E-05 ,2025-11-25 11:22:07
3.4E-05 ,2025-11-25 11:22:07
3.4E-05 ,2025-11-25 11:22:08
3.4E-05 ,2025-11-25 11:22:08
3.4E-05 ,2025-11-25 11:22:09
3.4E-05 ,2025-11-25 11:22:09
3.4E-05 ,2025-11-25 11:22:10
3.4E-05 ,2025-11-25 11:22:10
3.4E-05 ,2025-11-25 11:22:11
3.4E-05 ,2025-11-25 11:22:12
3.4E-05 ,2025-11-25 11:22:12
3.4E-05 ,2025-11-25 11:22:13
3.4E-05 ,2025-11-25 11:22:13
3.4E-05 ,2025-11-25 11:22:14
3.4E-05 ,2025-11-25 11:22:14
3.4E-05 ,2025-11-25 11:22:15
3.4E-05 ,2025-11-25 11:22:15
3.4E-05 ,2025-11-25 11:22:16
3.4E-05 ,2025-11-25 11:22:16
3.4E-05 ,2025-11-25 11:22:17
3.4E-05 ,2025-11-25 11:22:18
3.4E-05 ,2025-11-25 11:22:18
3.4E-05 ,2025-11-25 11:22:19
3.4E-05 ,2025-11-25 11:22:19
3.4E-05 ,2025-11-25 11:22:20
3.4E-05 ,2025-11-25 11:22:20
3.4E-05 ,2025-11-25 11:22:21
3.4E-05 ,2025-11-25 11:22:21
3.4E-05 ,2025-11-25 11:22:22
3.4E-05 ,2025-11-25 11:22:22
3.4E-05 ,2025-11-25 11:22:23
3.4E-05 ,2025-11-25 11:22:24
3.4E-05 ,2025-11-25 11:22:24
3.4E-05 ,2025-11-25 11:22:25
3.4E-05 ,2025-11-25 11:22:25
3.4E-05 ,2025-11-25 11:22:26
3.4E-05 ,2025-11-25 11:22:26
3.4E-05 ,2025-11-25 11:22:27
3.4E-05 ,2025-11-25 11:22:27
3.4E-05 ,2025-11-25 11:22:28
3.4E-05 ,2025-11-25 11:22:28
3.4E-05 ,2025-11-25 11:22:29
3.4E-05 ,2025-11-25 11:22:29
3.4E-05 ,2025-11-25 11:22:30
3.4E-05 ,2025-11-25 11:22:31
3.4E-05 ,2025-11-25 11:22:31
3.4E-05 ,2025-11-25 11:22:32
3.4E-05 ,2025-11-25 11:22:32
3.4E-05 ,2025-11-25 11:22:33
3.4E-05 ,2025-11-25 11:22:33
3.4E-05 ,2025-11-25 11:22:34
3.4E-05 ,2025-11-25 11:22:34
3.4E-05 ,2025-11-25 11:22:35
3.4E-05 ,2025-11-25 11:22:35
3.4E-05 ,2025-11-25 11:22:36
3.4E-05 ,2025-11-25 11:22:37
3.4E-05 ,2025-11-25 11:22:37
3.4E-05 ,2025-11-25 11:22:38
3.4E-05 ,2025-11-25 11:22:38
3.4E-05 ,2025-11-25 11:22:39
3.4E-05 ,2025-11-25 11:22:39
3.3E-05 ,2025-11-25 11:22:40
2.6E-06 ,2025-11-25 11:22:40
1.3E-06 ,2025-11-25 11:22:41
3.6E-07 ,2025-11-25 11:22:41
1.3E-08 ,2025-11-25 11:22:42
1.3E-09 ,2025-11-25 11:22:43
1.3E-09 ,2025-11-25 11:22:43
1.3E-09 ,2025-11-25 11:22:44
1.3E-09 ,2025-11-25 11:22:44
1.3E-09 ,2025-11-25 11:22:45
2.9E-06 ,2025-11-25 11:22:45
1.1E-04 ,2025-11-25 11:22:46
3.5E-05 ,2025-11-25 11:22:46
3.5E-05 ,2025-11-25 11:22:47
3.5E-05 ,2025-11-25 11:22:47
3.5E-05 ,2025-11-25 11:22:48
3.5E-05 ,2025-11-25 11:22:49
3.5E-05 ,2025-11-25 11:22:49
3.5E-05 ,2025-11-25 11:22:50
3.5E-05 ,2025-11-25 11:22:50
3.5E-05 ,2025-11-25 11:22:51
3.5E-05 ,2025-11-25 11:22:51
3.5E-05 ,2025-11-25 11:22:52
3.5E-05 ,2025-11-25 11:22:52
3.5E-05 ,2025-11-25 11:22:53
3.5E-05 ,2025-11-25 11:22:53
3.5E-05 ,2025-11-25 11:22:54
3.5E-05 ,2025-11-25 11:22:55
3.5E-05 ,2025-11-25 11:22:55
3.5E-05 ,2025-11-25 11:22:56
3.5E-05 ,2025-11-25 11:22:56
3.5E-05 ,2025-11-25 11:22:57
3.5E-05 ,2025-11-25 11:22:57
3.5E-05 ,2025-11-25 11:22:58
3.5E-05 ,2025-11-25 11:22:58
